week_number,start_index,MAE,RMSE
1,8795,0.3311267239130324,0.4080476704953999
2,8963,0.5343309721687719,0.8882706046399121
3,9131,0.6299886524455532,1.3772546675052417
4,9299,0.6596647621726704,1.2924381241003577
5,9467,0.5037923649485622,0.5338209160357957
6,9635,0.7998716111481189,1.3259339239930832
7,9803,0.9729904932236033,1.7884614033902808
8,9971,0.7264199736887322,1.3712101108288386
9,10139,0.739748624752586,1.3800851912938552
10,10307,0.8433598053167086,1.6276862522081708
11,10475,0.4903802002327783,0.6381137229042814
12,10643,0.6213254967602414,1.2489452481890162
13,10811,0.6118129015226095,1.243888202897766
14,10979,0.7295403437853037,1.4456926060457087
15,11147,0.7500437231100209,1.0980336124994308
16,11315,0.40218692419518315,0.4854361292872139
17,11483,0.575569896226128,1.023156708404774
18,11651,0.836239574508564,1.530290305089598
19,11819,0.7885130774438203,1.333128039861518
20,11987,0.39828713067807253,0.6649287268935545
21,12155,0.560610577825102,0.9773530997548319
22,12323,0.67631829499134,1.1258574279224727
23,12491,0.4917598554979832,0.595885365370043
24,12659,0.32187956300963244,0.4291522541653033
25,12827,0.38997857470597536,0.5281211955972053
26,12995,0.4846569670461828,0.738696530634613
27,13163,0.45062436210523754,0.5783169931047493
28,13331,0.5360019799171104,0.6702016308036441
29,13499,0.28977875866971553,0.32407418383127995
30,13667,0.3375644045465049,0.4807416411813626
31,13835,0.24570127210003276,0.27279881261295946
32,14003,0.3771145184182872,0.7522149800938239
33,14171,0.3336101011843199,0.4034853227285986
34,14339,0.314801078772261,0.39133421706743426
35,14507,0.3620593021934231,0.5223521613163135
36,14675,0.3125732466299087,0.4644345433196895
37,14843,0.3080715457620543,0.48951195029714223
38,15011,0.25311467748578814,0.39657138774854345
39,15179,0.2206869090721011,0.32078997281507604
40,15347,0.2863289531134069,0.44003236487509234
41,15515,0.2824122216991548,0.42592441983576296
42,15683,0.2853798462831903,0.49608447911570575
43,15851,0.2481231594799707,0.3529206615339338
44,16019,0.23238439468179073,0.30065889131167417
45,16187,0.20652711703353338,0.2832774401270343
46,16355,0.3168366327291975,0.4378613793794377
47,16523,0.2978526135090561,0.4202008841890004
48,16691,0.224903595626709,0.2960289993923401
49,16859,0.2558664104125152,0.3465647592614003
50,17027,0.22691705682847116,0.30190366793390977
51,17195,0.18311740381687525,0.25955669716478474
